Name,RA,Dec,Region,IRAC1,IRAC2,IRAC3,IRAC4,MIPS1,WISE1,WISE2,WISE3,WISE4
Luhman2007_176,168.01364,-76.617622,ChaI,1.961E-02,1.403E-02,9.305E-03,4.969E-03,8.541E-04,1.797E-02,1.288E-02,2.224E-03,
Luhman2007_177,168.01463,-77.433609,ChaI,1.308E-02,1.2E-02,1.02E-02,9.125E-03,1.281E-02,1.578E-02,1.554E-02,8.662E-03,1.244E-02
Luhman2007_178,168.04103,-76.576836,ChaI,5.112E-02,4.396E-02,3.67E-02,3.769E-02,6.131E-02,5.88E-02,5.152E-02,3.705E-02,6.018E-02
Luhman2007_183,168.12915,-76.892845,ChaI,2.586E-03,1.849E-03,1.273E-03,7.383E-04,,2.324E-03,1.666E-03,,
Luhman2007_184,168.17543,-76.977783,ChaI,4.837E-02,3.041E-02,2.093E-02,1.17E-02,1.305E-03,5.368E-02,3.042E-02,5.346E-03,
Luhman2007_185,168.17787,-77.37307,ChaI,2.111E-01,1.327E-01,9.135E-02,5.601E-02,8.232E-02,2.332E-01,1.297E-01,3.23E-02,8.739E-02
Luhman2007_186,168.17915,-76.618034,ChaI,5.869E-02,3.793E-02,2.47E-02,1.433E-02,1.903E-03,6.477E-02,3.571E-02,6.321E-03,
Luhman2007_187,168.20255,-76.785187,ChaI,,1.303E-02,,1.237E-02,1.126E-02,1.333E-02,1.077E-02,9.647E-03,1.107E-02
Luhman2007_189,168.35193,-76.489647,ChaI,2.634E-02,2.372E-02,1.998E-02,1.855E-02,2.989E-02,2.088E-02,1.803E-02,2.032E-02,3.68E-02
Luhman2007_191,168.37379,-76.483681,ChaI,2.151E-02,1.524E-02,1.002E-02,5.108E-03,6.303E-04,1.985E-02,1.327E-02,2.556E-03,
LuhmanMuench2008_2,165.52542,-77.302208,ChaI,1.193E-03,1.035E-03,8.644E-04,7.52E-04,1.147E-03,9.876E-04,9.682E-04,6.048E-04,
Luhman2007_173,167.94301,-76.335892,ChaI,,3.623E-01,,2.034E-01,2.011E-01,4.109E-01,3.435E-01,1.735E-01,3.075E-01
Luhman2007_172,167.9389,-76.614037,ChaI,1.332E-03,1.222E-03,9.565E-04,8.959E-04,9.365E-04,1.122E-03,1.073E-03,,
Luhman2007_171,167.91524,-76.33757,ChaI,,1.222E-01,,1.17E-01,2.267E-01,1.882E-01,1.927E-01,1.436E-01,2.802E-01
Luhman2007_170,167.89478,-76.605873,ChaI,4.452E-02,2.931E-02,1.98E-02,1.117E-02,1.569E-03,4.611E-02,2.752E-02,5.306E-03,
Erickson2011_73,246.678573608,-24.3416423798,Oph,4.19E-01,3.89E-01,4.24E-01,4.78E-01,4.24E-01,3.86E-01,4.266E-01,4.223E-01,7.668E-01
Erickson2011_89,246.777313232,-24.1175518036,Oph,1.7E-02,1.26E-02,9.05E-03,5.51E-03,,1.94E-02,1.382E-02,3.464E-03,
Erickson2011_120,247.04119873,-24.8131484985,Oph,1.12E-02,7.1E-03,5.05E-03,3.08E-03,,1.203E-02,6.723E-03,,
